timestamp,target_region,target_x_m,target_y_m,risk_level,dominant_risk,uncertainty_level,action_permission,safety_action,robot_action_mode,action_priority,motion_command,perception_command,actuator_command,operator_notification,execution_guard,command_status
2026-08-03 00:00,R01C01,10.0,11.0,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C01 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 01:00,R01C02,31.0,10.9,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C02 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 02:00,R01C03,51.5,10.5,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C03 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 03:00,R01C04,71.3,10.1,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C04 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 04:00,R01C05,90.5,9.6,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C05 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 05:00,R01C06,109.5,9.2,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C06 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 06:00,R02C06,108.7,29.0,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C06 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 07:00,R02C05,88.5,29.1,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C05 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 08:00,R02C04,69.1,29.3,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C04 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 09:00,R02C03,50.0,29.8,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C03 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 10:00,R02C02,31.0,30.3,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C02 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 11:00,R02C01,11.5,30.7,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R02C01 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-03 12:00,R03C01,11.3,51.0,中,heat,中,hold,resample_before_action,resample_sensors,medium,"hold_position:R03C01@(11.3,51.0); repeat_sampling_pass",resample_soil_moisture; resample_temperature; capture_context_image,none,R03C01 中风险且不确定性为中，重新采样后再决策,blocked_until_sensor_resample,queued_for_resampling
2026-08-03 13:00,R03C02,30.5,51.0,中,drought,中,hold,resample_before_action,resample_sensors,medium,"hold_position:R03C02@(30.5,51.0); repeat_sampling_pass",resample_soil_moisture; resample_temperature; capture_context_image,none,R03C02 中风险且不确定性为中，重新采样后再决策,blocked_until_sensor_resample,queued_for_resampling
2026-08-03 14:00,R03C03,49.5,50.8,中,drought,中,hold,resample_before_action,resample_sensors,medium,"hold_position:R03C03@(49.5,50.8); repeat_sampling_pass",resample_soil_moisture; resample_temperature; capture_context_image,none,R03C03 中风险且不确定性为中，重新采样后再决策,blocked_until_sensor_resample,queued_for_resampling
2026-08-03 15:00,R03C04,68.7,50.3,中,drought,中,hold,resample_before_action,resample_sensors,medium,"hold_position:R03C04@(68.7,50.3); repeat_sampling_pass",resample_soil_moisture; resample_temperature; capture_context_image,none,R03C04 中风险且不确定性为中，重新采样后再决策,blocked_until_sensor_resample,queued_for_resampling
2026-08-03 16:00,R03C05,88.5,49.9,中,drought,低,hold,monitor_more_context,monitor_context,normal,continue_patrol; revisit_region:R03C05,collect_next_context_window,none,R03C05 风险或不确定性处于中间状态，继续观察,no_direct_field_actuation,monitoring
2026-08-03 17:00,R03C06,109.1,49.4,中高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C06,verify_soil_moisture_next_pass,send_irrigation_alert,R03C06 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-03 18:00,R04C06,110.1,69.1,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C06@(110.1,69.1); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C06 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-03 19:00,R04C05,91.0,69.0,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C05@(91.0,69.0); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C05 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-03 20:00,R04C04,71.5,69.2,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C04@(71.5,69.2); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C04 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-03 21:00,R04C03,51.3,69.5,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C03@(51.3,69.5); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C03 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-03 22:00,R04C02,30.5,70.0,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C02@(30.5,70.0); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C02 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-03 23:00,R04C01,9.4,70.5,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R04C01@(9.4,70.5); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R04C01 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 00:00,R01C01,8.7,10.8,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C01@(8.7,10.8); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C01 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 01:00,R01C02,28.5,11.0,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C02@(28.5,11.0); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C02 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 02:00,R01C03,49.1,10.9,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C03@(49.1,10.9); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C03 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 03:00,R01C04,70.1,10.6,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C04@(70.1,10.6); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C04 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 04:00,R01C05,91.0,10.1,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C05@(91.0,10.1); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C05 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 05:00,R01C06,111.5,9.6,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R01C06@(111.5,9.6); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R01C06 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 06:00,R02C06,111.3,29.2,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R02C06@(111.3,29.2); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R02C06 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 07:00,R02C05,90.4,29.0,中高,drought,中,hold,recheck_before_action,recheck_region,high,"navigate_to:R02C05@(90.4,29.0); slow_down; hold_safe_distance",capture_close_range_image; resample_environment_sensors,defer_field_actuation,R02C05 高风险但不确定性为中，先复查后再执行,blocked_until_recheck_confirms_state,queued_for_recheck
2026-08-04 08:00,R02C04,69.4,29.0,中高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R02C04,verify_soil_moisture_next_pass,send_irrigation_alert,R02C04 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 09:00,R02C03,48.7,29.3,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R02C03,verify_soil_moisture_next_pass,send_irrigation_alert,R02C03 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 10:00,R02C02,28.5,29.7,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R02C02,verify_soil_moisture_next_pass,send_irrigation_alert,R02C02 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 11:00,R02C01,9.1,30.2,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R02C01,verify_soil_moisture_next_pass,send_irrigation_alert,R02C01 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 12:00,R03C01,10.1,50.7,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C01,verify_soil_moisture_next_pass,send_irrigation_alert,R03C01 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 13:00,R03C02,31.0,50.9,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C02,verify_soil_moisture_next_pass,send_irrigation_alert,R03C02 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 14:00,R03C03,51.5,51.0,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C03,verify_soil_moisture_next_pass,send_irrigation_alert,R03C03 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 15:00,R03C04,71.2,50.8,高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C04,verify_soil_moisture_next_pass,send_irrigation_alert,R03C04 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 16:00,R03C05,90.4,50.4,中高,drought,低,execute,execute_recommended_action,irrigation_alert,high,continue_patrol_after_marking:R03C05,verify_soil_moisture_next_pass,send_irrigation_alert,R03C05 干旱风险可信，触发灌溉提醒,human_or_controller_confirmation_required_for_irrigation,ready
2026-08-04 17:00,R03C06,109.4,49.9,中,drought,中,hold,resample_before_action,resample_sensors,medium,"hold_position:R03C06@(109.4,49.9); repeat_sampling_pass",resample_soil_moisture; resample_temperature; capture_context_image,none,R03C06 中风险且不确定性为中，重新采样后再决策,blocked_until_sensor_resample,queued_for_resampling
2026-08-04 18:00,R04C06,108.6,69.5,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C06 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-04 19:00,R04C05,88.5,69.1,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C05 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-04 20:00,R04C04,69.1,69.0,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C04 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-04 21:00,R04C03,50.1,69.1,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C03 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-04 22:00,R04C02,31.1,69.5,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C02 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-04 23:00,R04C01,11.5,69.9,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R04C01 当前风险较低，保持常规巡检,normal_autonomy,ready
2026-08-05 00:00,R01C01,11.2,10.4,很低,healthy,低,observe,routine_patrol,continue_patrol,low,continue_nominal_patrol,standard_periodic_sampling,none,R01C01 当前风险较低，保持常规巡检,normal_autonomy,ready
